,tweet_id,labels,claim_expert1,evidence_expert1,argumentative_expert2,claim_expert2,evidence_expert2,tweet
0,1178318550508982272,0,0,0,0,0,0,"@FrReschke Für mehr Diskussionskultur und Aufklärung bitte hier beteiligen: „Alle ""Klima-Politiker (m/w/d)"", alle ""Klima-Aktivisten (m/w/d)"", das IPCC: Stoppt die Klima-Lüge” - Jetzt unterschreiben! https://t.co/ct6C1jReVQ via @ChangeGER"
1,1178939737719164929,1,1,1,1,1,0,"@krk979 ja und heute gehts nur noch um Klima, Nachhaltigkeit und CO2. Die Menschen, die das bezahlen sollen als ""Vorbild"" sind egal."
2,1178744028726284289,1,1,0,1,1,0,"@DerMotzmichel @ArasBacho Echt jetzt? Wer nicht bei der Klima-Hysterie mitmacht ist ein Nazi? 🤦🏼‍♂️
Dann haben wir verdammt viele in der Welt."
3,1177149399975301120,0,0,0,0,0,0,"@Freizeitgraf @peanut_nme @ChristJesses @frank_musshoff @ulfposh @welt Da kommt jemand und spricht über Klima und die Zeitung berichtet und dann reden alle über Kindererziehung.
😂😂"
4,1179825533280014336,1,1,1,1,1,1,"@keklumpp @ZeitW Das Thema Klima wird auch für Masseneinwanderung missbraucht. Ich hab damals schon gesagt. Wenn du es schaffst Klima richtig zu etablieren, dann kannst du alle Interessen durchsetzen, die du willst. Ohne Begründung. Du sagst einfach wegen Klima. Fertig. Das wäre ideal."
5,1178367274236952577,1,1,0,1,1,1,"@Karl_Lauterbach Wenn ihr meint einer Bewegung nachzulaufen, einer Bewegung größtenteils finanziell besser gestellt mit kaum sozialer Empathie für weniger Privilegierte, wird das böse enden mit der #sPD. #Klimapaket #FridaysforFuture"
6,1179694193343643648,1,1,0,1,1,0,"@Vontobel @EurasiaGroup Das ist ziemlich Latte, wenn uns das Klima um die Ohren fliegt..."
7,1180117167683047424,1,1,0,1,1,0,
8,1179275649883750401,0,0,0,0,0,0,"@ProSieben @officiallyjoko @damitdasklaas ..
..aber was sagt denn da das ""goldene Kalb"" #Klima #KlimaNotstand #KlimaSchutz #KlimaDemo #KlimaHysterie dazu..??"
9,1177148985871687680,0,0,0,0,0,0,"@HannoSettele @Kachelmann @rahmstorf @SPIEGELONLINE @LH_Potsdam Worum geht's hier eigentlich immer? Ich hab irgendwie den Beginn dieser ""Diskussion"" verpasst &amp; hab mich dann nimma fragen getraut. Aber wenn ich's richtig verstehe, dann sagt @Kachelmann dass Klimaschützer nicht glauben Holzöfen wären schädlich fürs Klima, oder. Woher kommt das?"
10,1178252466678325254,1,1,0,1,1,0,@BShojaeian @Joerg_Meuthen @groenemeyer Noch so ein manipulierter Klima-Apokalyptiker
11,1180001890320470017,1,1,0,1,1,0,"@Disfosgen @welt Deswegen ist es ja so kriminell, wenn unsere Wälder im Namen von ""KLIMA!"" von den Grünroten oder den Grünschwarzen für unrentable #Windkraftwerke abgeholzt werden‼️"
12,1177252052596137989,1,1,0,1,1,1,"@Beatrix_vStorch Während Deutschland aus Klima-Angst den technologischen Rückschritt wagt, geht China voran. Und sicher wird aus Höflichkeit nur hinter vorgehaltener Hand über Deutschland gelacht und man weiß, dass ein globaler Konkurrent bald sich selbst erledigt hat!"
13,1178066229229174791,1,1,0,1,1,0,"@ereduverseau @_annemal_ @RegSprecher @HBraun ""Ihr Buch zeigt, dass sie lange vor ihrer Kanzlerschaft die Herausforderungen der Klima- und Umweltpolitik erkannte. Inzwischen regiert sie Deutschland seit 2005 und von all dem, was sie schon 1997 für nötig erachtete, ist nur ein kleiner Teil umgesetzt."" https://t.co/KzaJpGmQBC"
14,1177612210656428034,1,1,0,1,1,1,"@BrunchLP @Ecki195 @AfD @Joerg_Meuthen Du kapierst es nicht oder? Ich kann nicht als Politiker was fordern, was ich selbst nicht einhalte. Ich habe nichts dagegen, was für die Umwelt und fürs Klima zu tun, mich stört diese Hysterie und das alles sofort sein muss. Wieso nicht vor 10 Jahren?"
15,1177226064629829632,1,1,0,1,1,1,
16,1177575647176200194,1,1,0,1,1,1,"@Luisamneubauer Das sind halt nur noch ein paar tausend weitere gehirngewaschene Opfer der Klima-Sekte, die man da auf die Straße getrieben hat. 
Die Milliarden Menschen,die nicht daran glauben,und die keine Lust haben ein paar Raffzähne für ihre unbewiesene Theorie zu bezahlen, sieht man nicht."
17,1180055507589050368,0,0,0,0,0,0,
18,1177333706161295367,1,1,1,1,1,1,@ErikMarquardt @tobybaier #Klimaschutz ist  eins der wichtigsten Themen nur wird es nicht durch Verbote und Entzug gelöst. Nicht viele wolle  aufgeben was Generation durch Innovationen aufgebaut haben. Nicht verboten sonder der Mut zur Neuentwicklung sind ein Teil der Lösung
19,1178393784066945024,1,1,1,1,1,1,
20,1179107432129273856,0,0,0,0,0,0,
21,1176954434057900037,1,1,1,1,1,1,"@ryhminsimon @Nils22527082 @Heimatverbunde1 @ralph_kuhs @OliverJanich @ZDF Das Klima der Erde wird seit 120 Jahren immer kühler, ein Zusammenhang zwischen CO2 und der Temperatur ist nicht erkennbar. Eine kontroverse Debatte zu diesem Thema wurde bisher im öffentlichen Raum noch nie geführt. Es ist alles Lug unt Trug um den menschengemachten Klimawandel. https://t.co/AD2hYTfxh4"
22,1178595169605750784,1,1,0,1,1,0,"@lainee42 @BILD Da können sich jetzt alle künstlich aufregen, dass der Herr ja Wissenschaftler sei, bzw gar nicht den menschengemachten Klimawandel leugnen würde und trotzdem ignorieren sie dabei, dass allein schon der Begriff ""Klima-Greta"" dazu dient, von vorn herein Meinung zu generieren..."
23,1178451326646308872,1,1,0,1,1,0,"@lcoygermany @RebeccaLFreitag @LCOYNL @coychile @piajorks @AnnaBaeuerle @AllinforClimate @gr_rapha @lcoypoland @CANIntl @WWF_Jugend Bei Handlungsoptionen steht dann hoffentlich, dass CO2 keinen Einfluss auf das Klima hat und man sich gegen diese Verschwörungstheorie wehren soll 😉 am besten, man besteht auf eine Debatte mit @OliverJanich #oliwillreden"
24,1178313618414342145,1,1,1,1,1,1,"@Volkhard_Wille @BauerWilli_org @NABU_de #Insektenschutz, #Klimaschutz. geht nur mit den Landwirten. Wenn den Landwirten keine Luft zum Atmen gelassen wird, ist kein Spielraum mehr für Insekten- und Klimaschutz. Außerdem sind wir einer der wenigsten Bereiche, wo CO2 gebunden wird. Sollten wir da nicht zusammen arbeiten?"
25,1177183509208883200,1,1,1,1,1,1,
26,1178569739280486406,1,1,1,1,1,1,@Einzelfallinfos Warum steigt unsere Bundeswehr und alle unsere rettungstruppen nicht gleich auf Pferde mit Kutsche ?!? Oder zu viel tierquälerei? Dann doch lieber das EBike...ja genau.das wäre super für das Klima! krankes Deutschland. Wann endet das endlich ?
27,1177597527018868736,1,1,1,1,1,1,
28,1177632417840021505,1,1,0,1,1,0,"@TerliWetter @JanAlbrecht Die interaktiven Visualisierungen hier im Artikel sind auch ... heftig &amp; erschreckend!
https://t.co/9jG3ClqEng"
29,1179054711783264258,1,1,1,1,1,1,"@FridayForFuture @NewSpider1970 Wieviel Einfluss hat das auf das Klima? Selbst wenn wir heute Netto Null erreichen würden, werden 800 neue Kernkraftwerke gebaut. Und der Zusammenhang Mensch-Klima ist unbewiesen #Climategate #FridaysForHubraum"
30,1178034521721245696,1,1,0,1,1,0,
31,1177613470931570693,0,0,0,0,0,0,@Jumpsteady @langalex #Klima #meeresspiegel #meeresspiegelanstieg #ignoranz #erwärmung https://t.co/koZp9yZqUH
