tweet_id,argumentative_expert1,claim_expert1,evidence_expert1,argumentative_expert2,claim_expert2,evidence_expert2
1178318550508982272,0,0,0,0,0,0
1178939737719164929,1,1,1,1,1,0
1178744028726284289,1,1,0,1,1,0
1177149399975301120,0,0,0,0,0,0
1179825533280014336,1,1,1,1,1,1
1178367274236952577,1,1,0,1,1,1
1179694193343643648,1,1,0,1,1,0
1180117167683047424,1,1,0,1,1,0
1179275649883750401,0,0,0,0,0,0
1177148985871687680,0,0,0,0,0,0
1178252466678325254,1,1,0,1,1,0
1180001890320470017,1,1,0,1,1,0
1177252052596137989,1,1,0,1,1,1
1178066229229174791,1,1,0,1,1,0
1177612210656428034,1,1,0,1,1,1
1177226064629829632,1,1,0,1,1,1
1177575647176200194,1,1,0,1,1,1
1180055507589050368,0,0,0,0,0,0
1177333706161295367,1,1,1,1,1,1
1178393784066945024,1,1,1,1,1,1
1179107432129273856,0,0,0,0,0,0
1176954434057900037,1,1,1,1,1,1
1178595169605750784,1,1,0,1,1,0
1178451326646308872,1,1,0,1,1,0
1178313618414342145,1,1,1,1,1,1
1177183509208883200,1,1,1,1,1,1
1178569739280486406,1,1,1,1,1,1
1177597527018868736,1,1,1,1,1,1
1177632417840021505,1,1,0,1,1,0
1179054711783264258,1,1,1,1,1,1
1178034521721245696,1,1,0,1,1,0
1177613470931570693,0,0,0,0,0,0
1178250044505493504,1,1,1,1,1,1
1177624746978099200,0,0,0,0,0,0
1176822711437463553,1,0,1,1,0,1
1179137861016281089,1,1,1,1,1,1
1180038641130840064,1,1,1,1,1,1
1176926053329264641,1,1,1,1,1,1
1177807245670801409,1,1,1,1,1,1
1180154525895872515,0,0,0,0,0,0
1178697254082879489,1,1,0,1,1,0
1178230040598863872,1,1,0,1,1,0
1179457483485728768,1,1,0,1,1,0
1178214157742727168,1,1,1,1,1,1
1178917750321926144,1,1,1,1,1,1
1179308657688924160,1,1,1,1,1,1
1179998712329916416,1,1,0,1,1,0
1176891299225636866,0,0,0,0,0,0
1176932202929635328,1,1,0,1,1,1
1177160348224430080,1,1,0,1,1,1
1177827405362270208,1,1,1,1,1,1
1177278876852137984,1,1,0,1,1,1
1178999877159833600,1,1,1,1,1,1
1179696531915644928,0,0,0,0,0,0
1178283280589889536,1,1,0,1,1,0
1178732364526170112,1,1,1,1,1,1
1177283583540703232,1,1,0,1,1,0
1178296776585072640,1,1,1,1,1,1
1177127166779232256,1,1,0,1,1,0
1179641123209383941,1,1,0,1,1,0
1176962699277635585,1,1,0,1,1,0
1178330830101504000,1,1,1,1,1,1
1177221636329803778,1,1,1,1,1,1
1180069212548714501,1,1,0,1,1,0
1177232861700775936,1,1,0,1,1,1
1179427879215665153,0,0,0,0,0,0
1179025039087288326,1,1,1,1,1,1
1180086604737781760,1,1,1,1,1,1
1178340334264356864,1,1,0,1,1,0
1179501928868454400,1,1,0,1,1,0
1179032620144852995,1,1,1,1,1,1
1179017935546994688,1,1,1,1,1,1
1179028047955136512,1,1,0,1,1,0
1177468027446550528,1,1,1,1,1,1
1179357691040407557,1,1,0,1,1,1
1177129103968940033,1,1,1,1,1,1
1179497689119121411,1,1,1,1,1,1
1178292710240931840,1,1,0,1,1,0
1177140315611959296,1,1,0,1,1,1
1177855452241113088,1,1,1,1,1,1
1178664255719198721,1,1,0,1,1,0
1178352658597531648,1,1,0,1,1,1
1180111544677552129,1,1,0,1,1,1
1177479387173670912,1,1,1,1,1,1
1179758616372531202,1,1,0,1,1,0
1177650822550884353,1,1,1,1,1,0
1180032606143946752,1,1,1,1,1,1
1179401335277572096,1,1,1,1,1,0
1177514956733829123,1,1,1,1,1,1
1179129234230521857,1,1,0,1,1,0
1177721658884399106,1,1,0,1,1,0
1178265868654010368,1,1,0,1,1,0
1177512372820250624,1,1,0,1,1,0
1178916946449973248,1,1,1,1,1,1
1177316968766091266,1,1,0,1,1,0
1178575239585914881,1,1,0,1,1,1
1179021938045411330,1,1,0,1,1,1
1178613951162175489,1,1,0,1,1,0
1176966667995373570,1,1,1,1,1,1
1179590875812372480,1,1,0,1,1,0
1178664463261687808,1,1,0,1,1,1
1179502370797113353,1,1,0,1,1,1
1177866049536049154,1,0,1,0,0,0
1177292692507844609,1,1,1,1,1,1
1177798071134105600,1,1,0,1,1,1
1178347302559391750,1,1,1,1,1,1
1179038572432617472,1,1,1,1,1,0
1177604896201293824,1,1,0,1,1,1
1179431673580183553,1,1,1,1,1,1
1177160682057412609,1,1,0,1,1,1
1179122191868268545,0,0,0,0,0,0
1177639762959708160,1,1,0,1,1,0
1177223384591228928,1,1,1,1,1,1
1178979244417978368,1,1,0,1,1,0
1178667492694249472,1,1,1,1,1,0
