tweet,label
"<MENTION> When I was growing up I always felt like I wasn’t getting enough food not sure why, my mother only made enough for each person too have one serving but now I have an abundance of food I eat healthy and never put limits on what I can eat.",0
"<MENTION> Doing a whole foods keto diet. Coffee for breakfast. I only eat 2 meals a day. All meals consist of 3 things: low-starch vegetable(s), a protein, and a fat. Ex: salmon, goat cheese, salad; cheese omelette with sautéed mushies/tomatoes; tuna salad, celery sticks, almonds.",1
<MENTION> Where can I get this Vegetable bro <MENTION>,0
"<MENTION> ""Yeah, this place is pretty nice. I don't really have a preference for food, but pork does make me feel a little sick. What about you?""",1
"<MENTION> <MENTION> <MENTION> Because russian military doesn’t give green corridor, they shoot at Red Cross. The food is waiting outside of town, but it’s impossible to deliver under the strikes.",0
"<MENTION> green tea to start, diet coke, rockstar then pre workout is my recepie",0
<MENTION> Also rub them with olive oil.,0
CAN THE BASEBALL TOO BAD. INCORRECT. ALLOCATE SORRY SAN ANTONIO ALL THE HORSES FARTY MICROSOFT ARTIFICIAL INTELLIGENCE BRIAN CLOUGH UKRAINIAN APEX LEGENDS AVON SUGAR DADDY HANDMADE TURD CROCHET SARDINES IN OLIVE OIL TUSH OF BELLY BUTTONS. SYNERGY FRONDESCENCE CRYPTOCURRENCY,0
"<MENTION> I watched what the health then went plant based, animal welfare made me go vegan",1
"<MENTION> Oh wow, I think they have a different definition of veganism to us 😆",0
"I had only texted this man for 3 days, and he started sending me his t-shirt, pants AND shoe size’s .. Nigga, you couldn’t get a 35¢ pack of “Juicy Fruit” from me, is you crazy? That shit was hella random too, like he just KNEW I would cop him something?? LMAO. 🤣💀",0
"<MENTION> Beans. But you have to have some means to cook them.

What happened to communal gardens? Growing fruit and veg for all to share.",1
"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> I knew you could. 

#DanceMonkeyDance",0
"<MENTION> Tbh….
I prefer the actual fruit..
I don’t really fw mango flavoured Juices or anything",0
"<MENTION> I switch up proteins, veg, &amp; starches daily. Beef, pork, chicken, fish, breads, rice, noodles, corn. The potential combinations are endless &amp; my only rule is ""Never the same protein or starch 2 days in a row."" Legumes are used often &amp; don't count as a primary protein. Meat eaters",1
"<MENTION> <MENTION> Instant connection with family breakfast in Bogotá. Pair with a hot frothy mug of chocolate, hard to beat. The recipe is really good, thanks for posting.",0
"<MENTION> Veganism is reminding yourself that you are a shepherd of this earth, not the wolf.",0
"There are no shortcuts when it comes to body composition. Eat whole foods, mostly lean proteins and fiber rich vegetables. Include olive oil, avocado, and fatty fish. Toss in a few fresh fruits and whole grains in small portions. Exercise to build muscle, not to lose weight.",1
"It does well I add it onto the pork a short bit before taking out of the oven. First bake the maybe ten minutes of broil to toast up edges, that’s  when I put in the sauce.",0
