index,tweet,id,lang,topic,score,argumentative,evidence,claim,procon,arg_type,evidence_type
6,"The snowflakes have cancelled April Fools Day, instead carbon taxes and electric vehicles charged with electricity generated by burning coal makes fools of us everyday…",1.509839982231495e+18,en,Plant based should be invested in,0.0,0,0.0,0.0,0.0,,
57,<MENTION> <MENTION> <MENTION> Switch to plant based diets to reduce food costs and benefit climate,1.5116599217496678e+18,en,We should encourage more fruits and vegetable consumption,0.6331568956375122,1,1.0,1.0,1.0,explicit,fact
9830,<MENTION> That carbon tax is sure helping,1.5114081733824717e+18,en,We should add a carbon tax to food production,0.7621129751205444,0,0.0,0.0,0.0,,
36,"<MENTION> Absolutely, we are lucky enough to be able to grow a few vegetables-reduces the Carbon footprint of a small portion of our food, we try and support local food producers-every little bit helps because collectively we can make a difference",1.5117273389579796e+18,en,We should discourage fruits and vegetable consumption,0.6207425594329834,1,1.0,1.0,1.0,implicit,anecdotal
30473,<MENTION> <MENTION> <MENTION> <MENTION> I’m currently on a plant based diet. 😃,1.5108101621640315e+18,en,Plant based diets should be encouraged,0.7549756765365601,0,0.0,0.0,0.0,,
16760,<MENTION> Organic fruits and vegetables affordable,1.5114441110978437e+18,en,We should encourage more fruits and vegetable consumption,0.6124855279922485,0,0.0,0.0,0.0,,
59,A lot of the meat alternatives smell horrible.,1.5113810717698744e+18,en,Meat alternatives should be subsidized,0.644058346748352,1,1.0,1.0,-1.0,implicit,anecdotal
12799,<MENTION> I think that not enough is being done to make food production more sustainable which will have serious consequences in years to come. I think action on this matter should be urgent and that no country can escape the problem.,1.5110380760968602e+18,en,We should invest in more plant based food production,0.6869168877601624,0,0.0,0.0,0.0,,
29,<MENTION> CAN WE GET RID OF THE STUPID CARBON TAX,1.511564606451372e+18,en,We should add a carbon tax to food production,0.7291160821914673,1,0.0,1.0,-1.0,implicit,
28592,<MENTION> Where is beans and dodo? 😩😩,1.511957357139538e+18,en,Meat alternatives should be invested in,0.0,0,0.0,0.0,0.0,,
53,<MENTION> <MENTION> But the carbon tax is killing the economy? It's just a few cents too .,1.511495642924806e+18,en,We should add a carbon tax to food production,0.7127865552902222,lacks context,0.0,0.0,0.0,,
30751,"wanting to go vegan vs. needing a high protein, low cal diet in order to lose weight vs. my parents not supporting veganism, thus not buying plant-based protein foods :,)",1.5098945598069842e+18,en,Plant based diets should be encouraged,0.0,0,0.0,0.0,0.0,,
