,Unnamed: 0,index,tweet,id,lang,score,evidence,claim,procon,arg_type,evidence_type,topic,argumentative
661,661.0,15434,<MENTION> <MENTION> I thought due to more climate change activism people would've turned vegan or vegetarian,1.5113342040257495e+18,en,0.6466190814971924,0.0,0.0,0.0,,,,
107,,32186,It’s better than Whole Foods imo &amp; y’all know how much ya girl loves Whole Foods,1.5117763320525783e+18,en,0.0,0.0,0.0,0.0,,,Meat alternatives should be subsidized,0
314,314.0,18711,"<MENTION> <MENTION> She seem to be working 16hrs a day, 7days a week. What food does she eat?",1.5120111066881147e+18,en,0.0,0.0,0.0,0.0,,,,
277,277.0,13270,Just tried Burger King's plant-based burgers. They're good ngl.,1.5120003470820516e+18,en,0.0,0.0,0.0,0.0,,,,
478,478.0,25604,"#WorldHealthDay 
Under the guidance of revered Saint Gurmeet Ram Rahim Ji of Dera Sacha Sauda, millions took pledge to adopt vegetarian diet in their life 
<MENTION>",1.5119009825482506e+18,en,0.0,0.0,0.0,0.0,,,,
462,462.0,26751,I’m vegan but I love your meat,1.511936415705219e+18,en,0.6767541170120239,0.0,0.0,0.0,,,,
79,,16598,<MENTION> Sir always eat green vegetables and fruits. wow !😎,1.5116301479499817e+18,en,0.6291690468788147,0.0,1.0,-1.0,implicit,,We should discourage fruits and vegetable consumption,1
379,379.0,29360,"<MENTION> I think the information is not correct. I'm a vegan myself. You may add soy chunks (TVP) 52%. Protein, legumes/Lentils are good plant based protein sources.",1.510085537696166e+18,en,0.6634459495544434,0.0,0.0,0.0,,,,
725,725.0,1987,"<MENTION> Low quality meat products is the reason. Thanks to all Arab dishes and hormone injected and formalin treated meat.
Stop eating non-veg..no other option.",1.511397951557575e+18,en,0.5223917961120605,0.0,0.0,0.0,,,,
761,761.0,3348,"<MENTION> No need to destabilize. Start from small chicken piece in beginning, solowly increase the intake of meat, decreaae plant based diet day by day and within one year, convert to non vegetarian. Due to this process, slowly you would become meat eater while maintaining stability.",1.5119637005796352e+18,en,0.5463263392448425,0.0,0.0,0.0,,,,
380,380.0,5407,<MENTION> Stop lying. Liberals cut taxes to the middle-class as soon as they were elected. The carbon tax is rebated. How desperate are conservatives that they have to make stuff up?,1.5116912890660946e+18,en,0.0,0.0,0.0,0.0,,,,
951,951.0,13028,<MENTION> <MENTION> <MENTION> My ancestors have been making vegan meat alternatives for thousands of years. Miss me with that “standard” bullshit when you really mean “white”,1.5115042617750774e+18,en,0.0,0.0,0.0,0.0,,,,
59,59.0,20655,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> You keep using this word excuse a lot. You do realize that I am the default here. You are the on justifying your veganism. You're not the default, your so called virtuous diet is barely tried and tested.",1.511743564736258e+18,en,0.0,0.0,0.0,0.0,,,,
