tweet,id,lang,score,evidence,claim,procon,arg_type,evidence_type,topic,argumentative,unrelated_prob
<MENTION> Do you have meat alternatives there by your church?,1.5117301258759127e+18,en,0.7317205667495728,0.0,0.0,0.0,,,We should pursue policies that promote sustainable foods,0.2,
Fruit trees and vegetable plants everywhere,1.5095855037750843e+18,en,0.5413825511932373,0.0,0.0,0.0,,,Vegan and vegetarian diets should be encouraged,0.4,
<MENTION> <MENTION> <MENTION> My ancestors have been making vegan meat alternatives for thousands of years. Miss me with that “standard” bullshit when you really mean “white”,1.5115042617750774e+18,en,0.0,0.0,0.0,0.0,,,Vegan and vegetarian diets should be encouraged,0.25,
"An onion can make people cry, but there has never been a vegetable invented to make them laugh.",1.51177927793886e+18,en,0.0,0.0,0.0,0.0,,,Meat alternatives should be encouraged,0.4,
<MENTION> Most are. The oil tycoons don't want to increase production because they like the high barrel cost. Producing will lower the price. They will not leave any money on the table.,1.5110600695841546e+18,en,0.0,0.0,0.2,0.0,,,We should pursue policies that promote sustainable foods,0.8,0.8
<MENTION> Most are. The oil tycoons don't want to increase production because they like the high barrel cost. Producing will lower the price. They will not leave any money on the table.,1.5110600695841546e+18,en,0.0,0.0,0.0,0.0,unrelated,,We should pursue policies that promote sustainable foods,0.8,
<MENTION> Big advocate of legumes &amp; beans. Many recipes available from which home cooks can use them to produce very tasty &amp; satisfying meals. Got out of the habit of eating right in college &amp; have paid the price. Now seeing great health changes from their addition to my weekly meal plans.,1.5100068905872138e+18,en,0.0,0.0,0.25,0.0,,,Meat alternatives should be encouraged,0.6,0.25
<MENTION> Big advocate of legumes &amp; beans. Many recipes available from which home cooks can use them to produce very tasty &amp; satisfying meals. Got out of the habit of eating right in college &amp; have paid the price. Now seeing great health changes from their addition to my weekly meal plans.,1.5100068905872138e+18,en,0.0,0.0,0.25,0.0,,,We should pursue policies that promote sustainable foods,0.6,0.25
<MENTION> Big advocate of legumes &amp; beans. Many recipes available from which home cooks can use them to produce very tasty &amp; satisfying meals. Got out of the habit of eating right in college &amp; have paid the price. Now seeing great health changes from their addition to my weekly meal plans.,1.5100068905872138e+18,en,0.0,0.0,0.25,0.0,,,We should reduce the consumption of meat,0.6,0.25
<MENTION> Big advocate of legumes &amp; beans. Many recipes available from which home cooks can use them to produce very tasty &amp; satisfying meals. Got out of the habit of eating right in college &amp; have paid the price. Now seeing great health changes from their addition to my weekly meal plans.,1.5100068905872138e+18,en,0.0,0.0,0.25,0.0,,,Plant based food should be encouraged,0.6,0.25
<MENTION> Big advocate of legumes &amp; beans. Many recipes available from which home cooks can use them to produce very tasty &amp; satisfying meals. Got out of the habit of eating right in college &amp; have paid the price. Now seeing great health changes from their addition to my weekly meal plans.,1.5100068905872138e+18,en,0.0,0.0,0.0,0.0,unrelated,,Meat alternatives should be encouraged,0.6,
"<MENTION> <MENTION> <MENTION> <MENTION> Nah, yall just give too much of a fuck what other people eating. Some people do veganism due to allergies, digestion issues, etc. and many still wish they could eat meat but can’t. Let them find the methods to enjoy what they want while being vegan. Why tf it matter to yall?",1.5113961701023662e+18,en,0.6769693493843079,0.0,0.0,0.0,,,We should pursue policies that promote sustainable foods,0.4,
"<MENTION> Today, the federal carbon tax further increased the cost of everything while having zero impact on the environment. 
We need to stop this insanity because everyone deserves to be able to afford food.",1.509950703640277e+18,en,0.0,0.0,0.5,0.0,,,We should pursue policies that promote sustainable foods,1.0,0.5
"<MENTION> Today, the federal carbon tax further increased the cost of everything while having zero impact on the environment. 
We need to stop this insanity because everyone deserves to be able to afford food.",1.509950703640277e+18,en,0.0,0.0,0.0,0.0,unrelated,,We should pursue policies that promote sustainable foods,1.0,
"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> Yeah because American producers won't increase production, instead they are rewarding their investors.",1.5110120663871816e+18,en,0.0,0.0,0.0,0.0,,,We should reduce the consumption of meat,0.3333333333333333,
<MENTION> It's a hit and miss really. Eating issues are extremely complicated. I've been to two places and now I'm giving the hospital a try. It's possible to recover I know it is but it takes time. Hopefully I can come back from the hospital and have a whole variety of new safe foods,1.5116127259269775e+18,en,0.0,0.0,0.2,0.0,,,We should pursue policies that promote sustainable foods,0.6,0.8
<MENTION> It's a hit and miss really. Eating issues are extremely complicated. I've been to two places and now I'm giving the hospital a try. It's possible to recover I know it is but it takes time. Hopefully I can come back from the hospital and have a whole variety of new safe foods,1.5116127259269775e+18,en,0.0,0.0,0.0,0.0,unrelated,,We should pursue policies that promote sustainable foods,0.6,
"<MENTION> <MENTION> She seem to be working 16hrs a day, 7days a week. What food does she eat?",1.5120111066881147e+18,en,0.0,0.0,0.0,0.0,,,We should reduce the consumption of meat,0.25,
"<MENTION> 1. - Based on the class of plant seed
2. - 8 breeding points
3. - Rainbow, Star, Omnom

Discord: Cder丨asdf#6036",1.511988145214034e+18,en,0.0,0.0,0.0,0.0,,,Vegan and vegetarian diets should be encouraged,0.0,
<MENTION> <MENTION> Some athletes are equally good with a plant based diet lol,1.5108343240141865e+18,en,0.5304193496704102,0.0,1.0,0.0,,,Plant based food should be encouraged,0.8,0.0
<MENTION> <MENTION> Some athletes are equally good with a plant based diet lol,1.5108343240141865e+18,en,0.5304193496704102,0.0,0.0,0.0,unrelated,,Plant based food should be encouraged,0.8,
<MENTION> Yeah that’s true I was referring to celibacy from sex. Not I’d be a vegetarian if I was absolutely medically forced! I don’t mind it’s actually so many options but I wouldn’t do the meat substitute if I fake like I’m eating meat I’ll go back! Asap,1.511871210623316e+18,en,0.5593318939208984,0.0,0.4,0.0,,,We should reduce the consumption of meat,0.8,0.6
<MENTION> Yeah that’s true I was referring to celibacy from sex. Not I’d be a vegetarian if I was absolutely medically forced! I don’t mind it’s actually so many options but I wouldn’t do the meat substitute if I fake like I’m eating meat I’ll go back! Asap,1.511871210623316e+18,en,0.5593318939208984,0.0,0.2,0.0,,,Meat alternatives should be encouraged,0.8,0.6
<MENTION> Yeah that’s true I was referring to celibacy from sex. Not I’d be a vegetarian if I was absolutely medically forced! I don’t mind it’s actually so many options but I wouldn’t do the meat substitute if I fake like I’m eating meat I’ll go back! Asap,1.511871210623316e+18,en,0.5593318939208984,0.0,0.2,0.0,,,Vegan and vegetarian diets should be encouraged,0.8,0.6
<MENTION> Yeah that’s true I was referring to celibacy from sex. Not I’d be a vegetarian if I was absolutely medically forced! I don’t mind it’s actually so many options but I wouldn’t do the meat substitute if I fake like I’m eating meat I’ll go back! Asap,1.511871210623316e+18,en,0.5593318939208984,0.0,0.0,0.0,unrelated,,Vegan and vegetarian diets should be encouraged,0.8,
