,tweet,id,lang,score,topic
3356,"<MENTION> If not that, then we should increase welfare requirements so much that the price of meat skyrockets and people are financially forced to move to non-meat alternatives.",1.5117975999757558e+18,en,0.7677457332611084,We should stop subsidizing meat
1595,"<MENTION> <MENTION> We're not going to persuade billions of people to stop eating meat. We could make enormous improvements in the way meat is raised, though.",1.5116890757948867e+18,en,0.7501579523086548,We should stop subsidizing meat
2261,"<MENTION> <MENTION> <MENTION> If we stop buying the meat excessively, they will stop producing excessively.

We as consumers have power.",1.5112178704406528e+18,en,0.7294973134994507,We should stop subsidizing meat
3706,"<MENTION> Don't worry mr.mayor. If the consumption reduced, meat owners automatically reduce the production. Don't impose non- veg. It's a right of every human to select thier own food according to their taste as well as the economy.",1.511052091552592e+18,en,0.7220942974090576,We should stop subsidizing meat
1492,"<MENTION> We should all stop eating meat. Pigs, cows, you name it.

If we want to feed people responsibly, we have to dramatically reduce our meat consumption.",1.5117616311387873e+18,en,0.7209799289703369,We should stop subsidizing meat
1535,<MENTION> please respect our food choices and stop serving halal meat ( as default),1.5117339732562698e+18,en,0.7110593914985657,We should stop subsidizing meat
1559,<MENTION> Shops shall stop the exclusivity of Halal Meat.,1.511717636077359e+18,en,0.7074853777885437,We should stop subsidizing meat
3547,"<MENTION> Exactly. This is the case because the government subsidizes the meat and dairy industry like crazy. So changes need to be made so local food and produce are also subsidized, one way to do this is increase demand which had sky rocketed but still a ways to go.",1.509517625705046e+18,en,0.702102541923523,We should stop subsidizing meat
992,"<MENTION> I know the point of this is supposed to be opinions on what tastes good or whatever, but my spiciest food take is that we should not only stop subsidizing meat but tax it heavily",1.5115728277276672e+18,en,0.7004150152206421,We should stop subsidizing meat
3776,<MENTION> <MENTION> We waste more than 25% of our food and that's before you get into the inefficiency of meat production.,1.5103835803205673e+18,en,0.698930561542511,We should stop subsidizing meat
2218,<MENTION> <MENTION> Nobody is stopping anyone from eating meat at home only sale of meat will stop at public place.,1.511254312055296e+18,en,0.6986548900604248,We should stop subsidizing meat
2033,<MENTION> That won't be meat then. Population will stop growing immediately if we stop feeding them. The resources could be exploited by actual people much more efficiently,1.5113739401780142e+18,en,0.6951260566711426,We should stop subsidizing meat
13027,"<MENTION> <MENTION> <MENTION> If meat alternatives become viable, it may be that meat farming is no longer even profitable, and the govt won't have to regulate anything.",1.5115341676451226e+18,en,0.693828284740448,We should stop subsidizing meat
28961,<MENTION> it is smarter for you to tell the truth. Meat is fine as long as it is sustainable. <MENTION> and <MENTION> are holding our sustainability to create the perception of scarcity so that we depopulate. The poor and mentally enslaved will be all left with the wealthy,1.5096245151474156e+18,en,0.6928125619888306,We should stop subsidizing meat
3739,<MENTION> <MENTION> Currently meat is down because of cost. Let’s up the production,1.5108195721438618e+18,en,0.6864835619926453,We should stop subsidizing meat
2265,"<MENTION> It would also be nice if our government could begin subsidizing more sustainable options (like plant based meat) vs things like beef

but... i digress",1.5117880364383027e+18,en,0.6828914880752563,We should stop subsidizing meat
1532,"<MENTION> <MENTION> <MENTION> <MENTION> at least it is still meat and not a highly processed food. but otherwise I agree, we need to radically rewild our meat production, no more feedlots, no more more corn or soy. IF you stop paying farmers to grow that shit it won't end up gavaged into our livestock",1.5117352066418196e+18,en,0.6781714558601379,We should stop subsidizing meat
3777,"<MENTION> <MENTION> <MENTION> <MENTION> Not saying that. I'd miss meat if we stopped farming it but it'd cope. I'm saying it's not the solution. Part of one, sure. If we stopped all animal farming the only way to substitute the volume of protein needed to feed the planet would mean escalating mass production practices.",1.51037918489992e+18,en,0.6776027679443359,We should stop subsidizing meat
2145,"Hindus must do one thing,just stop eating halal meat 90percent of meat shops will be automatically close.   #meatban",1.5113046247160259e+18,en,0.6750596761703491,We should stop subsidizing meat
3864,<MENTION> <MENTION> I can agree with everything you just except said the meat thing...we should be doubling the pasture raised beef production.,1.5095304689740923e+18,en,0.6747522354125977,We should stop subsidizing meat
1941,<MENTION> Fuck this shit....eating meat is our choice and no fucked up religion can force us to stop doing that...,1.5114181115009147e+18,en,0.6733969449996948,We should stop subsidizing meat
3351,<MENTION> Banning meat won’t increase the price either,1.5118885579877458e+18,en,0.6725318431854248,We should stop subsidizing meat
3618,"<MENTION> <MENTION> <MENTION> But no one of us is buying meat directly from the producers.
Sorry,but it's hard to believe that reducing the production wld hurt the consumers.
It wld hurt the supermarkets.
THEY are the ones who wld import.
For their full looking shelves.",1.5116373811531817e+18,en,0.6719860434532166,We should stop subsidizing meat
4345,"A change toward avoiding buying ( industrial, involving-raising-animal ) meat or dairy could :

1/5:  fight deforestation.
2/5: bring more green waste to feed soil quality, soil carbon capture, drought resilience and flood resilience.

⬇️",1.5105567107165143e+18,en,0.6709998250007629,We should stop subsidizing meat
30080,"<MENTION> this is not about obliterating meat eating altogether - it's about replacing factory farms w alternative sourced protein - there will no doubt always be some animals, such as those who raise their own for consumption locally! 
stop w the fear-mongering already",1.5106297418496778e+18,en,0.6707984805107117,We should stop subsidizing meat
30405,"<MENTION> Reduce the consumption of processed meat, reduce consumption of all meat and consume more of a plant based diet, avoid plastics packaging on foods and shop local #NUTR0800522",1.511039657198379e+18,en,0.668152928352356,We should stop subsidizing meat
29956,"TLDR: if you want to eat meat, try and source it from local suppliers (Rosie’s chicken at Pavilions is good) or a farmers market. AVOID beef. Yes it costs more but we shouldn’t eat meat a lot anyways. 

If we want our food to become safer, BREAK UP MEAT MONOPOLIES now.
/end",1.5092155516792136e+18,en,0.6679432988166809,We should stop subsidizing meat
14885,"<MENTION> <MENTION> That's why I have high hopes for ""lab meat""....

If done right, it could end up being even cheaper than highly subsidized (also through ignored externalities) real meat, while being much more sustainable and produced without most of the negative side effects of today's meat.",1.5100250820930642e+18,en,0.667778491973877,We should stop subsidizing meat
1362,"<MENTION> <MENTION> <MENTION> <MENTION> I will not stop eating meat but I have cut back on the amount I eat.
I do agree something does need be done about the industry and the way they treat animals thank you for caring and I hope it will help make change for the better. Keep up the great work.",1.51188634783275e+18,en,0.6676298379898071,We should stop subsidizing meat
1608,<MENTION> I think we should stop trying to remove the meat from meat and start trying to remove the consciousness from the meat giver,1.5116778937638052e+18,en,0.6675537824630737,We should stop subsidizing meat
1950,"<MENTION> How about banning halal slaughter, that’ll stop a lot of folk eating meat.",1.5114135856872899e+18,en,0.6662118434906006,We should stop subsidizing meat
2029,<MENTION> <MENTION> Make sure all the restaurants and 5 star hotels should stop selling meat dishes as well.,1.511375397350527e+18,en,0.6620635390281677,We should stop subsidizing meat
1329,<MENTION> Actually we don't care if it's halal or something. Why does that even matter if we eat meat? People need to stop involving politics in everything.,1.5119275218387313e+18,en,0.6614567637443542,We should stop subsidizing meat
17453,"<MENTION> Red meat should be heavily taxed. Contributes 30% to global warming. Government should have a full right to tax the hell out of meat of Lamb, Goat, Beef etc. Discourage their consumption. Common sense dictates that, not stupid cliches like "" Let me eat what i want"".",1.5115121686882304e+18,en,0.6607855558395386,We should stop subsidizing meat
