tweet,id,topic,lang
The CBC news failed to mention that the UN climate report said that we must transition to a plant based diet. The meat industry is controlling the news narrative. The government is subsidizing our planet’s destruction. Your taxes destroying your children’s future. 🌱🌍,1511303801801691136,subsidizing meat,en
"produce a superior cropping, therefore meat environment, indeed for export first as highest price and again indeed an excess of subsidizing any or all exports before anything else..lets face it only reason he is still in power is mining and resource exports, incompetent otherwise",1511159672342200328,subsidizing meat,en
"<MENTION> And if we were to FIX THE FOOD SUPPLY (stop subsidizing the meat and dairy industries) and tax ""nutritionally deplete edibles"", we'd greatly REDUCE THE NEED FOR INSULIN, even for Type 1 diabetics, and other ""chronic disease maintenance"" drugs.",1510261403411791881,subsidizing meat,en
<MENTION> The U.S. could start with no longer subsidizing meat and dairy. That would be a move in the right direction. And also start subsidizing mobile farmers markets with organic produce in food deserts! 🥕 🥬 🍅,1510074454793105412,subsidizing meat,en
"<MENTION> Oddly people say not to force but we are all forced to pay for health treatments on the diseased people sickened by the Standard American Diet (SAD). Yes, force a disease tax instead of subsidizing the meat industry with tax dollars, forcibly.",1509641284364877849,subsidizing meat,en
"<MENTION> -greatly increase the tax on air travel

-invest in carbon capture research

-build more nuclear fission plants

-stop subsidizing the meat industry/eat less meat

-grow more food locally, everywhere.

-invest in sustainable aquaponics development. (Ie. Sustainable fish food)",1509517518091784199,subsidizing meat,en
"<MENTION> <MENTION> At least stop subsidizing it.

Meat should be expensive.

We need to eat waaay less of it in Canada,",1508999168018333698,subsidizing meat,en
"<MENTION> Stop horse and wolf slaughter, roundups. Stop boosting/propping up/subsidizing ranchers and beef producers. Heavy R&amp;D into Alternative and cell-based meat.",1508956883754766337,subsidizing meat,en
"#MeatTax could level the playing field between alternative protein and conventional produced meat. Only thing is that both subsidizing and taxing the same industry makes absolutely no sense.

#vleestaks",1508903919937855489,subsidizing meat,en
<MENTION> The real problem for the future of food and the planet are the present unsustainable practices of Chem/GE plant crop production.,1511355475878723592,unsustainable food,en
"<MENTION> <MENTION> Meat production needs to be, like in the UK produced, in regenerative farming practices, muck speading on pastures and arable lands, rotation etc. This industrial sized field system employed world wide is unsustainable and destructive. Sorry food prices UK needs to go up.",1511328067645546506,unsustainable food,en
